Method,z_um,f_norm,H_A
Clear,-25.0,0.425,0.8112511306206295
Clear,-25.0,0.435,0.7992083169042923
Clear,-25.0,0.445,0.7870535757181941
Clear,-25.0,0.455,0.7745682703588499
Clear,-25.0,0.465,0.7624484695033632
Clear,-25.0,0.475,0.7509569654028294
Clear,-25.0,0.485,0.7380398397282674
Clear,-25.0,0.495,0.7248521261052814
Clear,-25.0,0.505,0.7121332658204825
Clear,-25.0,0.515,0.6995870174608401
Clear,-25.0,0.525,0.6869929605186141
Clear,-25.0,0.535,0.6745289357464072
Clear,-25.0,0.545,0.6626987779892747
Clear,-25.0,0.555,0.6503879990413455
Clear,-25.0,0.5650000000000001,0.6378844108906416
Clear,-25.0,0.575,0.6252687814656213
Clear,-25.0,0.585,0.6125983430018488
Clear,-25.0,0.595,0.600257639340246
Clear,-25.0,0.605,0.5885885106768286
Clear,-25.0,0.615,0.5772896988799368
Clear,-25.0,0.625,0.5655837520278757
Clear,-25.0,0.635,0.5536600132522551
Clear,-25.0,0.645,0.5421521551942068
Clear,-25.0,0.655,0.5309415067866274
Clear,-25.0,0.665,0.520079184315224
Clear,-25.0,0.675,0.5091014376153625
Clear,-25.0,0.685,0.4981654579479521
Clear,-25.0,0.6950000000000001,0.4872463807818776
Clear,-25.0,0.7050000000000001,0.4765024784323048
Clear,-25.0,0.715,0.46580278624446436
Clear,-25.0,0.725,0.455249982817426
Clear,-25.0,0.735,0.4451108111632815
Clear,-25.0,0.745,0.4356724152565705
Clear,-25.0,0.755,0.42609482385047576
Clear,-25.0,0.765,0.4164810102620232
Clear,-25.0,0.775,0.4066188120072214
Clear,-25.0,0.785,0.39678974565032854
Clear,-25.0,0.795,0.3871334256792207
Clear,-25.0,0.805,0.3776678267263613
Clear,-25.0,0.8150000000000001,0.36917256518977476
Clear,-25.0,0.8250000000000001,0.36054683772634627
Clear,-25.0,0.835,0.3514926302499086
Clear,-25.0,0.845,0.34244569557697474
Clear,-25.0,0.855,0.3338131441514342
Clear,-25.0,0.865,0.3256989499033457
Clear,-25.0,0.875,0.3174498528000352
Clear,-25.0,0.885,0.3093712852694295
Clear,-25.0,0.895,0.3014460203709949
Clear,0.0,0.005,1.0
Clear,0.0,0.015,0.9999999999999996
Clear,0.0,0.025,0.9999999999999997
Clear,0.0,0.035,0.9999999999999997
Clear,0.0,0.045,0.9999999999999997
Clear,0.0,0.055,0.9999999999999998
Clear,0.0,0.065,0.9999999999999997
Clear,0.0,0.07500000000000001,0.9999999999999996
Clear,0.0,0.08499999999999999,0.9999999999999997
Clear,0.0,0.095,0.9999999999999997
Clear,0.0,0.10500000000000001,0.9999999999999998
Clear,0.0,0.11499999999999999,0.9999999999999998
Clear,0.0,0.125,0.9999999999999998
Clear,0.0,0.135,0.9999999999999996
Clear,0.0,0.14500000000000002,0.9999999999999998
Clear,0.0,0.155,0.9999999999999997
Clear,0.0,0.165,0.9999999999999996
Clear,0.0,0.175,0.9999999999999997
Clear,0.0,0.185,0.9999999999999997
Clear,0.0,0.195,0.9999999999999997
Clear,0.0,0.20500000000000002,0.9999999999999997
Clear,0.0,0.215,0.9999999999999997
Clear,0.0,0.225,0.9999999999999997
Clear,0.0,0.235,0.9999999999999999
Clear,0.0,0.245,0.9999999999999998
Clear,0.0,0.255,0.9999999999999998
Clear,0.0,0.265,0.9999999999999998
Clear,0.0,0.275,0.9999999999999998
Clear,0.0,0.28500000000000003,0.9999999999999996
Clear,0.0,0.295,0.9999999999999996
Clear,0.0,0.305,0.9999999999999997
Clear,0.0,0.315,0.9999999999999996
Clear,0.0,0.325,0.9999999999999998
Clear,0.0,0.335,0.9999999999999998
Clear,0.0,0.34500000000000003,0.9999999999999997
Clear,0.0,0.355,0.9999999999999998
Clear,0.0,0.365,0.9999999999999997
Clear,0.0,0.375,0.9999999999999997
Clear,0.0,0.385,0.9999999999999997
Clear,0.0,0.395,0.9999999999999997
Clear,0.0,0.405,0.9999054825999372
Clear,0.0,0.41500000000000004,0.9984628080451771
Clear,0.0,0.425,0.9949964851341848
Clear,0.0,0.435,0.9903411487408508
Clear,0.0,0.445,0.9849870697470247
Clear,0.0,0.455,0.978915486397352
Clear,0.0,0.465,0.9725939709713431
Clear,0.0,0.475,0.966237439523632
Clear,0.0,0.485,0.9587460132617818
Clear,0.0,0.495,0.9507372357204881
Clear,0.0,0.505,0.9427332689934163
Clear,0.0,0.515,0.9345193790206812
Clear,0.0,0.525,0.9260204433259883
Clear,0.0,0.535,0.9173329226715258
Clear,0.0,0.545,0.9089158282847383
Clear,0.0,0.555,0.8999139497836928
Clear,0.0,0.5650000000000001,0.8905279065308835
Clear,0.0,0.575,0.8808303106721692
Clear,0.0,0.585,0.8708407421191191
Clear,0.0,0.595,0.8609146921391058
Clear,0.0,0.605,0.8513166813194318
Clear,0.0,0.615,0.8418405809548344
